,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
2000,"(0.30964847048633126, 0.46711309181582067)","(0.1617990399762412, 0.46711309181582067)","(0.21586857014786281, 0.46711309181582067)","(0.18098785802999603, 0.46711309181582067)","(0.15378468666944373, 0.4671130918158206)","(0.3068301761787674, 0.46711309181582067)","(0.21430647074881398, 0.4671130918158206)","(0.32888360139116835, 0.46745395351012126)","(0.14717507246024972, 0.46745395351012126)","(0.1581765538310301, 0.2146436519235497)","(0.17756302056269327, 0.2226712178267796)","(0.1553392268506564, 0.2226712178267796)","(0.143121110697247, 0.2226712178267796)","(0.14215928898099386, 0.2226712178267796)","(0.13390931490686178, 0.22267121782677962)","(0.13271802849872016, 0.2226712178267796)","(0.12985495855224014, 0.2226712178267796)","(0.12849573634878034, 0.2226712178267796)","(0.1225940790770514, 0.22267121782677962)","(0.1180565111715168, 0.22267121782677962)","(0.11206576249588182, 0.22267121782677962)","(0.10803404989531185, 0.22267121782677962)","(0.10274539016594492, 0.2226712178267796)","(0.10263764966559112, 0.22267121782677962)","(0.08857530775272345, 0.2226712178267796)","(0.08308686859798296, 0.22267121782677962)","(0.07991199550058743, 0.22267121782677962)","(0.25228826712466895, 0.4679143212083012)","(0.23568672464322066, 0.4679143212083011)","(0.23112627805193373, 0.46791432120830123)","(0.22474074147955225, 0.4679143212083012)","(0.2091872925177264, 0.4679143212083012)","(0.19571817577876724, 0.4679143212083012)","(0.18641964711385348, 0.46791432120830123)","(0.18006074217078316, 0.46791432120830123)","(0.15324072583069054, 0.46791432120830123)","(0.14922338278597844, 0.46791432120830123)","(0.13863162937852794, 0.4679143212083012)","(0.1318223606780768, 0.46791432120830123)","(0.12455826155739898, 0.46791432120830123)","(0.12127663739744332, 0.46791432120830123)","(0.1126474999035453, 0.46791432120830123)","(0.1072033412033124, 0.4679143212083012)","(0.10222404319679901, 0.46791432120830123)"
2001,"(1.426892409535388, 2.683022887089249)","(0.8801068190660633, 2.6830228870892485)","(1.1850477938152268, 2.683022887089249)","(0.90594644157583, 2.6830228870892485)","(0.8453382748841035, 2.6830228870892494)","(1.1366512292931952, 2.68302288708925)","(0.8334247062005771, 2.683022887089249)","(1.3381507199659117, 2.693483741754971)","(0.5756098511310389, 2.6934837417549704)","(1.1078559729379025, 2.756354779583663)","(1.337625334172672, 2.7728150948847636)","(1.1696078244446413, 2.7728150948847636)","(0.5910365861466825, 2.7728150948847636)","(0.5711479175740289, 2.7728150948847645)","(0.5688549946493222, 2.772815094884764)","(0.5656860637128406, 2.772815094884764)","(0.5643697123973554, 2.772815094884764)","(0.5621242997871009, 2.772815094884764)","(0.560692119547568, 2.772815094884764)","(0.5552577957568391, 2.772815094884764)","(0.5318927735225933, 2.772815094884764)","(0.5275561585407491, 2.772815094884764)","(0.505285734034369, 2.772815094884764)","(0.49979199851827283, 2.772815094884764)","(0.49398128200207203, 2.772815094884764)","(0.48973343131144464, 2.7728150948847645)","(0.44657128668928103, 2.772815094884764)","(1.087252371671783, 2.6833069501237814)","(0.8094516846172255, 2.6833069501237814)","(0.7888106950113156, 2.6833069501237814)","(0.5818420001682956, 2.683306950123781)","(0.5214238271894777, 2.6833069501237814)","(0.517089627607471, 2.683306950123781)","(0.5156521850166814, 2.683306950123782)","(0.5107864079441349, 2.6833069501237814)","(0.5049178935559141, 2.6833069501237814)","(0.43558358022455834, 2.6833069501237814)","(0.3840938136689772, 2.6833069501237814)","(0.37471420335940325, 2.6833069501237814)","(0.36932880615267494, 2.6833069501237814)","(0.3641397243289994, 2.6833069501237814)","(0.33116806632770174, 2.6833069501237814)","(0.3208587999801237, 2.6833069501237814)","(0.31394744199319147, 2.6833069501237814)"
2002,"(1.059932284308999, 2.6771236442256487)","(0.8084481326529732, 2.6771236442256487)","(0.9477469857790047, 2.6771236442256487)","(0.7151699881957154, 2.6771236442256487)","(0.6834582275516184, 2.6771236442256487)","(0.9371310500422734, 2.677123644225649)","(0.9254206345142506, 2.677123644225649)","(0.9512508622885696, 2.7164723945648817)","(0.4662329996876438, 2.7164723945648817)","(1.1054200752359433, 2.7350793545397813)","(1.2243437583786276, 2.7510243952501328)","(0.8988546778890459, 2.7510243952501328)","(0.8596865475105651, 2.7510243952501328)","(0.5438020394815635, 2.751024395250133)","(0.5063959431225963, 2.7510243952501328)","(0.4995230678604227, 2.7510243952501336)","(0.4699231647887152, 2.7510243952501328)","(0.45931572792558284, 2.751024395250133)","(0.45474750623788796, 2.751024395250133)","(0.4565216908528168, 2.7510243952501336)","(0.4313800323327105, 2.751024395250133)","(0.4279034939567352, 2.7510243952501328)","(0.42410773281215625, 2.751024395250133)","(0.3924509772468363, 2.7510243952501336)","(0.3250306165454516, 2.7510243952501336)","(0.2887353401258646, 2.7510243952501328)","(0.28099744601626553, 2.7510243952501328)","(1.4149663829875025, 2.6753154547301836)","(1.096296413318964, 2.6753154547301836)","(0.8890900982030423, 2.675315454730183)","(0.7933307096655995, 2.675315454730183)","(0.7567408742436613, 2.6753154547301827)","(0.7346479604833749, 2.6753154547301827)","(0.7214882803562488, 2.675315454730183)","(0.699835948355846, 2.6753154547301827)","(0.6929666086676908, 2.6753154547301827)","(0.6197257615808429, 2.675315454730183)","(0.607798127870761, 2.675315454730183)","(0.5979114410709566, 2.675315454730183)","(0.40978839900388464, 2.675315454730183)","(0.39447838773804605, 2.675315454730183)","(0.3881329366581982, 2.675315454730183)","(0.37169043928238515, 2.675315454730183)","(0.355783002435979, 2.675315454730183)"
2003,"(0.3255155987005693, 0.3962463502628849)","(0.2613281715283783, 0.3962463502628849)","(0.2931028658598761, 0.3962463502628849)","(0.251304870361711, 0.3962463502628849)","(0.22390331870869068, 0.3962463502628849)","(0.3008343601347433, 0.3962463502628849)","(0.28321821634825317, 0.3962463502628849)","(0.30123779263906303, 0.3465414479968614)","(0.1660787843300624, 0.3465414479968614)","(0.22278464148155847, 0.3019406549299976)","(0.2802711752644991, 0.35084611899804047)","(0.2536115897684464, 0.35084611899804047)","(0.2353066610785057, 0.35084611899804047)","(0.2255368928864552, 0.35084611899804047)","(0.22109211124056144, 0.35084611899804047)","(0.21475079028790725, 0.3508461189980405)","(0.20805525070166134, 0.3508461189980405)","(0.20786465008919972, 0.3508461189980405)","(0.20740868248455532, 0.3508461189980405)","(0.20613706469019002, 0.3508461189980405)","(0.20200837737433028, 0.35084611899804047)","(0.19861662791302637, 0.35084611899804047)","(0.19109980965530124, 0.35084611899804047)","(0.18190921115502562, 0.35084611899804047)","(0.174104368165321, 0.35084611899804047)","(0.15615169662915615, 0.35084611899804047)","(0.15116190922822903, 0.35084611899804047)","(0.3540741233672097, 0.39933421964243765)","(0.3177772917241574, 0.39933421964243765)","(0.3037656763462159, 0.39933421964243765)","(0.2810888594813691, 0.39933421964243765)","(0.26977826902981145, 0.39933421964243765)","(0.2594961448697493, 0.39933421964243765)","(0.24931785161756992, 0.3993342196424377)","(0.24371334024247604, 0.39933421964243765)","(0.2347105747714187, 0.39933421964243765)","(0.22635174267090213, 0.39933421964243765)","(0.211725422781973, 0.39933421964243765)","(0.1968476026381798, 0.39933421964243765)","(0.18725663952079286, 0.39933421964243765)","(0.1743293670463981, 0.39933421964243765)","(0.17112928784054765, 0.39933421964243765)","(0.16252086039023533, 0.39933421964243765)","(0.1573989355293145, 0.39933421964243765)"
2004,"(0.33123125459124064, 0.39662800803800513)","(0.2131535185236858, 0.39662800803800513)","(0.25048649247115484, 0.39662800803800513)","(0.21380079500735485, 0.39662800803800513)","(0.19014567631232152, 0.3966280080380051)","(0.28611907558408173, 0.3966280080380051)","(0.2364511728255331, 0.3966280080380051)","(0.26196745592519266, 0.3496850707106608)","(0.1467398321022411, 0.34968507071066085)","(0.2535277097792895, 0.39937793794808324)","(0.31206099244146285, 0.4003969873919676)","(0.2874389917759206, 0.4003969873919676)","(0.2699127357345033, 0.4003969873919676)","(0.2678712022794228, 0.4003969873919676)","(0.2613474983834205, 0.40039698739196755)","(0.2574985217401646, 0.4003969873919676)","(0.25461186568970146, 0.4003969873919676)","(0.2394498655673745, 0.4003969873919676)","(0.23271277698978934, 0.4003969873919676)","(0.22872992361609248, 0.4003969873919676)","(0.22264576245506057, 0.4003969873919676)","(0.21952729828034837, 0.40039698739196766)","(0.2263313882388436, 0.40039698739196766)","(0.219490097758572, 0.4003969873919676)","(0.21188830317669052, 0.4003969873919676)","(0.2049231188001675, 0.4003969873919676)","(0.19936069279158145, 0.4003969873919676)","(0.347490138586158, 0.4037246873923044)","(0.3181522619073342, 0.4037246873923044)","(0.30540014789145176, 0.4037246873923044)","(0.284939888508277, 0.40372468739230444)","(0.27303610623070834, 0.40372468739230444)","(0.2670795994038234, 0.4037246873923044)","(0.2582658207487707, 0.40372468739230444)","(0.2529760473755447, 0.40372468739230444)","(0.2402945790768668, 0.40372468739230444)","(0.23694898255187072, 0.40372468739230444)","(0.21150234642099816, 0.40372468739230444)","(0.20655131598856852, 0.40372468739230444)","(0.18360670934347328, 0.4037246873923044)","(0.17995597834278554, 0.40372468739230444)","(0.16974270714143175, 0.4037246873923044)","(0.14960333019011926, 0.40372468739230444)","(0.14364062578453374, 0.4037246873923044)"
2005,"(0.5343884618044743, 0.7593955983275034)","(0.32752427694044994, 0.7593955983275035)","(0.36985460115150776, 0.7593955983275035)","(0.3101860041546741, 0.7593955983275035)","(0.27471296893872343, 0.7593955983275035)","(0.5271651735395954, 0.7593955983275035)","(0.36146282032469146, 0.7593955983275035)","(0.47514951964835517, 0.7473726442114644)","(0.2243266582102101, 0.7473726442114644)","(0.39356136782892237, 0.7449576478058392)","(0.4797976571793633, 0.7456020652808446)","(0.3663659413799713, 0.7456020652808446)","(0.33783034058131245, 0.7456020652808446)","(0.32685221603056225, 0.7456020652808446)","(0.3189648811911562, 0.7456020652808447)","(0.31186756140651223, 0.7456020652808446)","(0.3096799009642757, 0.7456020652808448)","(0.2891010964177027, 0.7456020652808446)","(0.2836373408691117, 0.7456020652808446)","(0.27649387216106847, 0.7456020652808446)","(0.26570951899203593, 0.7456020652808447)","(0.26135517182199247, 0.7456020652808447)","(0.253843882893095, 0.7456020652808447)","(0.2516689058698279, 0.7456020652808446)","(0.24725125208260143, 0.7456020652808446)","(0.23709781624268852, 0.7456020652808446)","(0.22310379437785827, 0.7456020652808446)","(0.5143537579870666, 0.760112981260708)","(0.44176029786619725, 0.760112981260708)","(0.40551160470549996, 0.760112981260708)","(0.37427188324713795, 0.760112981260708)","(0.35305478594584466, 0.760112981260708)","(0.35798158960626364, 0.760112981260708)","(0.3419084471167431, 0.7601129812607079)","(0.3135561860181464, 0.7601129812607081)","(0.3006482539589416, 0.760112981260708)","(0.29793820604462506, 0.7601129812607081)","(0.28815429422809385, 0.7601129812607081)","(0.2781684812076077, 0.760112981260708)","(0.27112743701263536, 0.760112981260708)","(0.2047398878446016, 0.760112981260708)","(0.19382340923979474, 0.760112981260708)","(0.19185870311241285, 0.760112981260708)","(0.16341011063809696, 0.760112981260708)"
2006,"(0.5161387785430672, 0.6593198286620404)","(0.3754536472549379, 0.6593198286620404)","(0.4005798607692326, 0.6593198286620403)","(0.3511110424176699, 0.6593198286620404)","(0.27652563547176634, 0.6593198286620404)","(0.47197383660103137, 0.6593198286620404)","(0.373894377185255, 0.6593198286620404)","(0.4772917934516924, 0.6547412420070648)","(0.26350140790293414, 0.6547412420070648)","(0.3965045769069293, 0.6568332426627214)","(0.5373491949913575, 0.6778659985552349)","(0.4771030360969952, 0.6778659985552349)","(0.44878692097141665, 0.6778659985552349)","(0.43541517292706167, 0.6778659985552348)","(0.4083506798466444, 0.6778659985552348)","(0.4023256228949307, 0.6778659985552349)","(0.3950316170510076, 0.6778659985552349)","(0.3923095388948541, 0.6778659985552349)","(0.3814153289196553, 0.6778659985552348)","(0.3784397431098165, 0.6778659985552348)","(0.37233650189529505, 0.6778659985552349)","(0.36632609495810814, 0.6778659985552349)","(0.3630400848665057, 0.6778659985552348)","(0.33884410381345964, 0.6778659985552349)","(0.33053980359979257, 0.6778659985552348)","(0.326079769456974, 0.6778659985552349)","(0.3170670606896502, 0.6778659985552349)","(0.5386793255624434, 0.6599542420801665)","(0.4466432256501755, 0.6599542420801664)","(0.4178925046556643, 0.6599542420801664)","(0.39122288533613586, 0.6599542420801665)","(0.36502961004577095, 0.6599542420801664)","(0.3488945097703539, 0.6599542420801665)","(0.3269312693130397, 0.6599542420801665)","(0.31286913089814516, 0.6599542420801664)","(0.29187466426277714, 0.6599542420801665)","(0.27987062196003953, 0.6599542420801664)","(0.2746790796066296, 0.6599542420801664)","(0.2677785537361814, 0.6599542420801665)","(0.23659722817052026, 0.6599542420801665)","(0.22364591420671454, 0.6599542420801664)","(0.21491244889773456, 0.6599542420801665)","(0.19134190136239715, 0.6599542420801665)","(0.17575989530877778, 0.6599542420801665)"
2007,"(0.4925074114861471, 0.5563502869888288)","(0.3482615295209953, 0.5563502869888287)","(0.43823775547780985, 0.5563502869888287)","(0.3384566250819567, 0.5563502869888288)","(0.287108907085695, 0.5563502869888287)","(0.45246075413621384, 0.5563502869888288)","(0.3869805911601877, 0.5563502869888287)","(0.40312642528612463, 0.4747173361816012)","(0.25734569400055524, 0.4747173361816013)","(0.3827832615831746, 0.5619391056037056)","(0.4753113586967109, 0.5622109736087697)","(0.4242011067614583, 0.5622109736087696)","(0.38083068862413144, 0.5622109736087696)","(0.34368582290805155, 0.5622109736087696)","(0.3515568597635363, 0.5622109736087696)","(0.3341866237451957, 0.5622109736087697)","(0.3343425181645843, 0.5622109736087697)","(0.3187172240849588, 0.5622109736087697)","(0.29292277672934025, 0.5622109736087697)","(0.29267870045784167, 0.5622109736087697)","(0.2682650834914137, 0.5622109736087697)","(0.2638671009268087, 0.5622109736087696)","(0.250633880630966, 0.5622109736087696)","(0.24416806622907142, 0.5622109736087696)","(0.24379082552383854, 0.5622109736087697)","(0.2402413409313993, 0.5622109736087697)","(0.22815068239816164, 0.5622109736087696)","(0.48968804736293836, 0.5569589271055846)","(0.41495590948503486, 0.5569589271055845)","(0.37087669125627487, 0.5569589271055845)","(0.35453055357668467, 0.5569589271055845)","(0.3537331571754433, 0.5569589271055845)","(0.3424216314381419, 0.5569589271055845)","(0.3157057383514117, 0.5569589271055845)","(0.3061726373484076, 0.5569589271055845)","(0.2962099404771066, 0.5569589271055846)","(0.2934279973262137, 0.5569589271055845)","(0.27873905580030867, 0.5569589271055845)","(0.2722672245415916, 0.5569589271055845)","(0.2580469071073562, 0.5569589271055845)","(0.246091174835699, 0.5569589271055845)","(0.24255439404519527, 0.5569589271055845)","(0.22899000291230615, 0.5569589271055846)","(0.22068376202707024, 0.5569589271055845)"
2008,"(0.9832285429564642, 1.5020931353213025)","(0.6859447139050203, 1.5020931353213025)","(0.8920233524100156, 1.5020931353213025)","(0.710074895169779, 1.5020931353213025)","(0.6338562758277957, 1.5020931353213025)","(0.8539538425514419, 1.5020931353213025)","(0.6558286615071818, 1.5020931353213025)","(0.961137358646125, 1.574547348115141)","(0.5007102767143171, 1.574547348115141)","(0.8335535002712978, 1.530772206498155)","(0.730955049313298, 1.5365765151207316)","(0.6482808129755435, 1.5365765151207313)","(0.6296286853665102, 1.5365765151207313)","(0.6083391905377621, 1.5365765151207313)","(0.45455781491626895, 1.5365765151207316)","(0.45184323014438865, 1.5365765151207313)","(0.44328868974735186, 1.5365765151207313)","(0.43597817711578524, 1.5365765151207318)","(0.41896514588893874, 1.5365765151207316)","(0.4191380061011506, 1.5365765151207313)","(0.40822173126331857, 1.5365765151207313)","(0.394102342560881, 1.5365765151207316)","(0.38635823417715814, 1.5365765151207313)","(0.38101379264146573, 1.5365765151207318)","(0.37825937757896544, 1.5365765151207313)","(0.3731420089608224, 1.5365765151207316)","(0.23857617491122762, 1.5365765151207313)","(0.8821705334128485, 1.5030746876184078)","(0.7731899542583417, 1.5030746876184076)","(0.7088127771081214, 1.5030746876184078)","(0.6519384713151964, 1.503074687618408)","(0.6314955500134436, 1.503074687618408)","(0.5517507694105319, 1.5030746876184076)","(0.48163872641027067, 1.5030746876184076)","(0.46951965778643856, 1.5030746876184078)","(0.46822180908162786, 1.5030746876184078)","(0.46352721843606765, 1.5030746876184076)","(0.35726151340803597, 1.5030746876184076)","(0.3492000401370338, 1.5030746876184076)","(0.33606442413986554, 1.5030746876184078)","(0.3278758912472265, 1.5030746876184076)","(0.31733817030679795, 1.5030746876184078)","(0.28773311005015917, 1.5030746876184078)","(0.27937334277894565, 1.5030746876184076)"
2009,"(0.6377680008851971, 0.7976739643258343)","(0.4581116924338721, 0.7976739643258343)","(0.6045873216067156, 0.7976739643258342)","(0.46461061988648394, 0.7976739643258343)","(0.40505631555731525, 0.7976739643258342)","(0.59004972070735, 0.7976739643258343)","(0.4639914080494196, 0.7976739643258343)","(0.6108021097973682, 0.8338011525660618)","(0.4030200980005257, 0.8338011525660618)","(0.5689580827463592, 0.8131553214694722)","(0.5445368266833767, 0.8125697304741439)","(0.5302506036604984, 0.8125697304741438)","(0.4612372431968599, 0.8125697304741438)","(0.4465438694356749, 0.8125697304741438)","(0.4409272546035878, 0.8125697304741438)","(0.4200332973335789, 0.8125697304741438)","(0.41604841918104296, 0.8125697304741438)","(0.4074134363309621, 0.8125697304741437)","(0.40165967765556776, 0.8125697304741438)","(0.3994163429635536, 0.8125697304741438)","(0.39278254910449123, 0.8125697304741438)","(0.38702138108692896, 0.8125697304741438)","(0.380140202195598, 0.8125697304741438)","(0.37775837928597134, 0.8125697304741438)","(0.3578409787964198, 0.8125697304741438)","(0.35317464572038815, 0.8125697304741438)","(0.3385893143354397, 0.8125697304741438)","(0.6049502705685685, 0.7992128252171153)","(0.5670814705570094, 0.7992128252171152)","(0.49165001851845075, 0.7992128252171152)","(0.45687284655703836, 0.7992128252171153)","(0.45524108524493323, 0.7992128252171152)","(0.4440173126552177, 0.7992128252171152)","(0.42924399228319615, 0.7992128252171152)","(0.4181919191266156, 0.7992128252171153)","(0.4042562878220032, 0.7992128252171152)","(0.3573662427127804, 0.7992128252171152)","(0.3415091982769169, 0.7992128252171155)","(0.32962535095528994, 0.7992128252171152)","(0.2960265739231026, 0.7992128252171152)","(0.2861917567426349, 0.7992128252171153)","(0.2696372560653037, 0.7992128252171152)","(0.26280173262385786, 0.7992128252171152)","(0.25317760444095694, 0.7992128252171152)"
