year,vola
2000,0.013973940121109054
2001,0.013554768439283084
2002,0.016321224765333278
2003,0.010716022723271478
2004,0.006974440274536774
2005,0.006464479733891493
2006,0.006297199755882753
2007,0.01007243980700703
2008,0.025788964563025613
2009,0.017141834714173593
2010,0.011355211097037859
2011,0.014682630402813857
2012,0.008020729412914103
2013,0.00696014841556277
2014,0.007156007125095402
2015,0.009750475018710097
2016,0.008243445900721291
2017,0.004204235111057309
2018,0.010749723661279742
2019,0.007852034160508134
2020,0.021807584833111016
